framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Time,1,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,3,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,4,SL SH SF,1,15235,12,3,12,200,4,7,0,222855,,,200,200,6,194,0,174440,,,100,100,44,56,3,
defects4j,Time,5,SF,,,,,,,,,,,,,,,,,0,140281,,,100,100,47,53,3,
defects4j,Time,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,7,SF,,,,,,,,,,,,,,,,,0,150085,,,100,100,11,89,3,
defects4j,Time,8,SF,,,,,,,,,,,,,,,,,0,106865,,,100,100,93,7,3,
defects4j,Time,9,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,10,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,11,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,12,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,13,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,14,SF,,,,,,,,,,,,,,,,,0,144543,,,100,100,0,100,3,
defects4j,Time,15,SH SF,,,,,,,,,1,838,1,1,1,200,0,0,1,5537,7,1,7,100,4,2,3,
defects4j,Time,16,SL SH SF,0,223549,,,200,200,43,157,0,186474,,,200,200,5,195,0,137332,,,100,100,36,64,3,
defects4j,Time,17,SF,,,,,,,,,,,,,,,,,1,15634,13,1,13,100,9,3,3,
defects4j,Time,18,SF,,,,,,,,,,,,,,,,,1,11802,8,2,8,100,4,3,3,
defects4j,Time,19,SL SH SF,1,968,1,1,1,200,0,0,1,3757,4,1,4,200,0,3,0,138205,,,100,100,58,42,3,
defects4j,Time,20,SF,,,,,,,,,,,,,,,,,1,541,1,1,1,100,0,0,3,
defects4j,Time,22,SF,,,,,,,,,,,,,,,,,0,81611,,,100,100,5,95,3,
defects4j,Time,23,SF,,,,,,,,,,,,,,,,,0,197000,,,100,100,81,19,3,
defects4j,Time,24,SH SF,,,,,,,,,0,269301,,,200,200,32,168,0,186450,,,100,100,11,89,3,
defects4j,Time,25,SH SF,,,,,,,,,0,215425,,,200,200,144,56,0,131054,,,100,100,72,28,3,
defects4j,Time,26,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Time,27,SF,,,,,,,,,,,,,,,,,0,128053,,,100,100,31,69,3,
