framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Mockito,1,SH SF,,,,,,,,,1,41084,42,3,42,200,13,28,1,4475,4,1,4,100,0,3,3,
defects4j,Mockito,2,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,3,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,4,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,5,SL SH SF,0,126886,,,200,200,1,199,0,140497,,,200,200,0,200,0,86612,,,100,100,20,80,3,
defects4j,Mockito,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,7,SL SH SF,0,115841,,,200,200,27,173,0,120241,,,200,200,83,117,0,64821,,,100,100,50,50,3,
defects4j,Mockito,8,SL SH SF,1,138677,177,3,177,200,61,115,0,172655,,,200,200,0,200,1,104803,85,1,85,100,2,82,3,
defects4j,Mockito,9,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,10,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,11,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,12,SF,,,,,,,,,,,,,,,,,1,542,1,1,1,100,0,0,3,
defects4j,Mockito,13,SF,,,,,,,,,,,,,,,,,1,1314,1,1,1,100,0,0,3,
defects4j,Mockito,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,15,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,17,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,18,SH SF,,,,,,,,,0,104228,,,200,200,0,200,0,45578,,,100,100,0,100,3,
defects4j,Mockito,19,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,20,SF,,,,,,,,,,,,,,,,,0,157318,,,100,100,21,79,3,
defects4j,Mockito,21,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,22,SH SF,,,,,,,,,0,133441,,,200,200,1,199,1,497,1,1,1,100,0,0,3,
defects4j,Mockito,23,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,24,SL SH SF,1,1224,2,2,2,200,1,0,1,2932,4,1,4,200,0,3,1,716,1,1,1,100,0,0,3,
defects4j,Mockito,25,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,26,SL SH SF,0,157775,,,200,200,180,20,1,132854,170,2,170,200,139,30,1,133456,97,1,97,100,12,84,3,
defects4j,Mockito,27,SH SF,,,,,,,,,0,133515,,,200,200,20,180,0,79845,,,100,100,11,89,3,
defects4j,Mockito,28,SH SF,,,,,,,,,0,126166,,,200,200,1,199,1,4913,6,3,6,100,4,1,3,
defects4j,Mockito,29,SL SH SF,1,428,1,1,1,200,0,0,1,436,1,1,1,200,0,0,1,407,1,1,1,100,0,0,3,
defects4j,Mockito,30,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,31,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,32,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,33,SF,,,,,,,,,,,,,,,,,1,4407,7,1,7,100,0,6,3,
defects4j,Mockito,34,SL SH SF,1,420,1,1,1,200,0,0,0,124044,,,200,200,0,200,1,477,1,1,1,100,0,0,3,
defects4j,Mockito,35,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,36,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,37,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Mockito,38,SL SH SF,1,2163,4,1,4,200,0,3,1,8530,16,1,16,200,2,13,1,400,1,1,1,100,0,0,3,
