framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Math,1,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,2,SL SH SF,1,4177,8,2,8,200,3,4,1,3287,6,3,6,200,4,1,1,1707,3,3,3,100,2,0,3,
defects4j,Math,3,SF,,,,,,,,,,,,,,,,,1,1463,1,1,1,100,0,0,3,
defects4j,Math,4,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,5,SL SH SF,1,493,1,1,1,200,0,0,1,501,1,1,1,200,0,0,1,605,1,1,1,100,0,0,3,
defects4j,Math,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,7,SF,,,,,,,,,,,,,,,,,0,113969,,,100,100,0,100,3,
defects4j,Math,8,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,9,SH SF,,,,,,,,,0,103822,,,200,200,45,155,0,53845,,,100,100,29,71,3,
defects4j,Math,10,SL SH SF,1,6562,4,1,4,200,3,0,1,90367,55,1,55,200,34,20,0,252275,,,100,100,67,33,3,
defects4j,Math,11,SL SH SF,1,34506,58,1,58,200,8,49,0,124183,,,200,200,0,200,1,3172,4,1,4,100,1,2,3,
defects4j,Math,12,SF,,,,,,,,,,,,,,,,,0,60625,,,100,100,0,100,3,
defects4j,Math,13,SF,,,,,,,,,,,,,,,,,0,88833,,,100,100,5,95,3,
defects4j,Math,14,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,15,SL SH SF,0,323340,,,200,200,0,200,0,374722,,,200,200,0,200,0,341477,,,100,100,0,100,3,
defects4j,Math,16,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,17,SF,,,,,,,,,,,,,,,,,0,67138,,,100,100,2,98,3,
defects4j,Math,18,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,19,SH SF,,,,,,,,,1,25616,20,2,20,200,1,18,1,19318,10,1,10,100,6,3,3,
defects4j,Math,20,SH SF,,,,,,,,,0,115070,,,200,200,0,200,1,25046,34,1,34,100,8,25,3,
defects4j,Math,21,SF,,,,,,,,,,,,,,,,,0,256043,,,100,100,64,36,3,
defects4j,Math,22,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,23,SF,,,,,,,,,,,,,,,,,1,2504,1,1,1,100,0,0,3,
defects4j,Math,24,SF,,,,,,,,,,,,,,,,,1,197278,65,2,65,100,20,44,3,
defects4j,Math,25,SF,,,,,,,,,,,,,,,,,1,9637,4,1,4,100,1,2,3,
defects4j,Math,26,SF,,,,,,,,,,,,,,,,,1,134431,68,2,68,100,39,28,3,
defects4j,Math,27,SL SH SF,1,60763,122,2,122,200,6,115,1,22692,44,2,44,200,9,34,0,55492,,,100,100,0,100,3,
defects4j,Math,28,SF,,,,,,,,,,,,,,,,,1,48879,22,1,22,100,5,16,3,
