framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Math,29,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,30,SL SH SF,1,567,1,1,1,200,0,0,1,519,1,1,1,200,0,0,1,656,1,1,1,100,0,0,3,
defects4j,Math,31,SF,,,,,,,,,,,,,,,,,0,225832,,,100,100,63,37,3,
defects4j,Math,32,SL SH SF,1,2838,3,3,3,200,2,0,1,4779,4,1,4,200,0,3,1,12969,8,2,8,100,2,5,3,
defects4j,Math,33,SL SH SF,1,44723,54,3,54,200,23,30,0,174878,,,200,200,88,112,0,154151,,,100,100,34,66,3,
defects4j,Math,34,SL SH SF,1,8719,16,1,16,200,8,7,1,4634,10,1,10,200,5,4,1,340,1,1,1,100,0,0,3,
defects4j,Math,35,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,36,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,37,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,38,SF,,,,,,,,,,,,,,,,,0,396879,,,100,100,0,100,3,
defects4j,Math,39,SH SF,,,,,,,,,1,316031,157,1,157,200,26,130,1,126042,40,1,40,100,4,35,3,
defects4j,Math,40,SF,,,,,,,,,,,,,,,,,0,381828,,,100,100,5,95,3,
defects4j,Math,41,SL SH SF,1,631,1,1,1,200,0,0,1,635,1,1,1,200,0,0,1,867,1,1,1,100,0,0,3,
defects4j,Math,42,SF,,,,,,,,,,,,,,,,,0,148928,,,100,100,73,27,3,
defects4j,Math,43,SF,,,,,,,,,,,,,,,,,0,98920,,,100,100,58,42,3,
defects4j,Math,44,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,45,SH SF,,,,,,,,,1,2761,5,2,5,200,0,4,1,3320,5,2,5,100,0,4,3,
defects4j,Math,46,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,47,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,48,SH SF,,,,,,,,,0,374562,,,200,200,2,198,0,317561,,,100,100,1,99,3,
defects4j,Math,49,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,50,SH SF,,,,,,,,,1,2685,2,2,2,200,1,0,0,312624,,,100,100,1,99,3,
defects4j,Math,51,SF,,,,,,,,,,,,,,,,,0,305658,,,100,100,9,91,3,
defects4j,Math,52,SF,,,,,,,,,,,,,,,,,0,307497,,,100,100,8,92,3,
defects4j,Math,53,SH SF,,,,,,,,,1,5736,10,1,10,200,0,9,1,401,1,1,1,100,0,0,3,
defects4j,Math,54,SL SH SF,0,199127,,,200,200,0,200,0,229704,,,200,200,0,200,0,192301,,,100,100,0,100,3,
defects4j,Math,55,SF,,,,,,,,,,,,,,,,,0,141218,,,100,100,46,54,3,
defects4j,Math,56,SH SF,,,,,,,,,1,78146,97,1,97,200,49,47,1,5045,5,2,5,100,3,1,3,
defects4j,Math,57,SL SH SF,1,1242,1,1,1,200,0,0,1,1266,1,1,1,200,0,0,1,72408,26,2,26,100,0,25,3,
defects4j,Math,58,SL SH SF,0,111089,,,200,200,27,173,0,121171,,,200,200,61,139,0,69307,,,100,100,25,75,3,
defects4j,Math,59,SL SH SF,1,402,1,1,1,200,0,0,1,411,1,1,1,200,0,0,1,415,1,1,1,100,0,0,3,
defects4j,Math,60,SF,,,,,,,,,,,,,,,,,1,1567,2,2,2,100,1,0,3,
defects4j,Math,61,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,62,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,63,SL SH SF,1,6046,11,2,11,200,3,7,1,43270,78,3,78,200,36,41,0,66473,,,100,100,52,48,3,
defects4j,Math,64,SF,,,,,,,,,,,,,,,,,0,359821,,,100,100,0,100,3,
defects4j,Math,65,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,66,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,67,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,68,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,69,SL SH SF,1,11658,17,2,17,200,14,2,1,59079,83,2,83,200,59,23,1,9597,10,1,10,100,8,1,3,
defects4j,Math,70,SL SH SF,1,21730,29,2,29,200,3,25,1,28300,44,2,44,200,1,42,1,17061,13,1,13,100,1,11,3,
defects4j,Math,71,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,72,SF,,,,,,,,,,,,,,,,,1,28326,13,1,13,100,6,6,3,
defects4j,Math,73,SH SF,,,,,,,,,1,21592,16,1,16,200,0,15,1,894,1,1,1,100,0,0,3,
defects4j,Math,74,SF,,,,,,,,,,,,,,,,,0,337134,,,100,100,9,91,3,
defects4j,Math,75,SL SH SF,0,99862,,,200,200,36,164,0,108843,,,200,200,39,161,0,60283,,,100,100,31,69,3,
defects4j,Math,76,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,77,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,78,SF,,,,,,,,,,,,,,,,,0,296880,,,100,100,14,86,3,
defects4j,Math,79,SF,,,,,,,,,,,,,,,,,1,471,1,1,1,100,0,0,3,
defects4j,Math,80,SL SH SF,1,523,1,1,1,200,0,0,1,531,1,1,1,200,0,0,1,21391,23,2,23,100,13,9,3,
defects4j,Math,81,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,82,SL SH SF,1,500,1,1,1,200,0,0,1,509,1,1,1,200,0,0,1,3388,4,1,4,100,2,1,3,
defects4j,Math,83,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,84,SF,,,,,,,,,,,,,,,,,1,45762,31,1,31,100,0,30,3,
defects4j,Math,85,SL SH SF,1,13378,11,2,11,200,4,6,0,272121,,,200,200,5,195,0,214981,,,100,100,39,61,3,
defects4j,Math,86,SF,,,,,,,,,,,,,,,,,1,12532,7,1,7,100,4,2,3,
defects4j,Math,87,SF,,,,,,,,,,,,,,,,,1,9754,13,1,13,100,9,3,3,
defects4j,Math,88,SF,,,,,,,,,,,,,,,,,0,131541,,,100,100,52,48,3,
defects4j,Math,89,SF,,,,,,,,,,,,,,,,,1,365,1,1,1,100,0,0,3,
defects4j,Math,90,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,91,SH SF,,,,,,,,,1,3993,7,1,7,200,1,5,1,485,1,1,1,100,0,0,3,
defects4j,Math,92,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,93,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,94,SL SH SF,1,897,1,1,1,200,0,0,1,159564,109,1,109,200,0,108,1,23318,13,1,13,100,2,10,3,
defects4j,Math,95,SF,,,,,,,,,,,,,,,,,1,2391,4,1,4,100,0,3,3,
defects4j,Math,96,SL SH SF,1,15907,23,2,23,200,18,4,1,1509,2,2,2,200,1,0,1,48690,53,2,53,100,33,19,3,
defects4j,Math,97,SF,,,,,,,,,,,,,,,,,0,137600,,,100,100,4,96,3,
defects4j,Math,98,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,99,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,100,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Math,101,SH SF,,,,,,,,,0,206854,,,200,200,0,200,1,6443,4,1,4,100,3,0,3,
defects4j,Math,102,SF,,,,,,,,,,,,,,,,,0,103093,,,100,100,70,30,3,
defects4j,Math,103,SF,,,,,,,,,,,,,,,,,1,20955,28,1,28,100,2,25,3,
defects4j,Math,104,SL SH SF,0,100149,,,200,200,0,200,0,99516,,,200,200,0,200,0,54904,,,100,100,0,100,3,
defects4j,Math,105,SL SH SF,1,2282,4,1,4,200,1,2,1,7281,13,1,13,200,9,3,1,12442,20,2,20,100,19,0,3,
defects4j,Math,106,SF,,,,,,,,,,,,,,,,,1,19645,10,1,10,100,8,1,3,
