framework,project,bug_id,bug_type,SL_ppc,SL_rc,SL_fppt,SL_fppcl,SL_uts,SL_mts,SL_errtf,SL_errce,SH_ppc,SH_rc,SH_fppt,SH_fppcl,SH_uts,SH_mts,SH_errtf,SH_errce,SF_ppc,SF_rc,SF_fppt,SF_fppcl,SF_uts,SF_mts,SF_errtf,SF_errce,max_conv_length,comment
defects4j,Closure,1,SH SF,,,,,,,,,0,259814,,,200,200,0,200,0,132059,,,100,100,17,83,3,
defects4j,Closure,2,SF,,,,,,,,,,,,,,,,,1,775,1,1,1,100,0,0,3,
defects4j,Closure,3,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,,,,,,,,,,,,,,,,,0,116202,,,100,100,44,56,3,
defects4j,Closure,5,SH SF,,,,,,,,,1,42666,23,2,23,200,0,22,0,261928,,,100,100,29,71,3,
defects4j,Closure,6,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,,,,,,,,,,,,,,,,,0,79073,,,100,100,37,63,3,
defects4j,Closure,8,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,,,,,,,,,,,,,,,,,3,"Not SL, SH or SF bug. "
