framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,7,3631,1,1,75,1,10,93,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,2,221721,51,51,75,376,845,1628,
defects4j,Chart,4,SF,1,2589,1,1,75,0,2,3,
defects4j,Chart,5,SF,1,3744,1,1,75,6,8,15,
defects4j,Chart,6,SH SF,1,5038,1,1,75,14,17,116,
defects4j,Chart,7,SF,2,2542,1,1,75,0,2,4,
defects4j,Chart,8,SL SH SF,6,2746,1,1,75,1,8,102,
defects4j,Chart,9,SL SH SF,5,2628,1,1,75,13,4,62,
defects4j,Chart,10,SL SH SF,8,17732,2,5,75,0,82,463,
defects4j,Chart,11,SL SH SF,5,3998,1,1,75,1,6,72,
defects4j,Chart,12,SL SH SF,6,4876,1,1,75,13,13,155,
defects4j,Chart,13,SL SH SF,5,1982,1,1,75,6,4,21,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,2,9672,2,2,75,14,87,277,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,2,3217,1,1,75,0,0,100,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,384525,,70,75,0,2124,2592,
defects4j,Chart,24,SL SH SF,4,19046,2,5,75,0,86,275,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,1,42367,11,11,75,0,12,13,
defects4j,Closure,1,SH SF,0,322062,,70,75,49,1434,1571,
defects4j,Closure,2,SF,4,3352,1,1,75,1,11,18,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,226090,,70,75,263,235,508,
defects4j,Closure,5,SH SF,1,51642,12,12,75,14,137,156,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,1,3877,1,1,75,17,24,45,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,3,4485,1,1,75,11,76,126,
defects4j,Closure,11,SH SF,0,344048,,70,75,0,2471,3355,
defects4j,Closure,12,SH SF,1,62784,17,17,75,30,458,502,
defects4j,Closure,13,SF,1,4150,1,1,75,5,17,28,
defects4j,Closure,14,SL SH SF,0,228939,,70,75,344,250,679,
defects4j,Closure,15,SH SF,1,8729,1,1,75,39,102,157,
defects4j,Closure,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,5,3430,1,1,75,1,12,20,
defects4j,Closure,19,SF,2,3718,1,1,75,3,23,28,
defects4j,Closure,20,SH SF,6,27695,3,5,75,29,184,288,
defects4j,Closure,21,SF,0,192604,,70,75,54,118,176,
defects4j,Closure,22,SF,0,180760,,70,75,60,92,154,
defects4j,Closure,23,SF,0,204784,,70,75,183,162,352,
defects4j,Closure,24,SF,0,232119,,70,75,229,200,433,
defects4j,Closure,25,SF,0,213813,,70,75,177,271,449,
defects4j,Closure,26,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,186727,,70,75,53,65,121,
defects4j,Closure,30,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,6,5933,2,2,75,10,22,43,
defects4j,Closure,32,SF,0,203735,,70,75,78,84,164,
defects4j,Closure,33,SH SF,0,279550,,70,75,450,889,1776,
defects4j,Closure,34,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,224333,,70,75,59,906,1125,
defects4j,Closure,36,SH SF,1,93787,24,24,75,27,452,486,
defects4j,Closure,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,1,9932,3,3,75,50,45,180,
defects4j,Closure,39,SF,0,216629,,70,75,164,178,370,
defects4j,Closure,40,SF,0,247200,,70,75,148,185,359,
defects4j,Closure,41,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,248178,,70,75,0,150,155,
defects4j,Closure,43,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,5,4136,1,1,75,9,16,32,
defects4j,Closure,45,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,385008,,70,75,70,98,205,
