framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,105,19691,1,6,95,2,21,325,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,13,245963,51,56,95,389,960,1769,
defects4j,Chart,4,SF,3,15405,1,6,95,0,6,9,
defects4j,Chart,5,SF,4,17881,1,6,95,13,18,35,
defects4j,Chart,6,SH SF,40,26472,1,6,95,29,55,228,
defects4j,Chart,7,SF,10,15724,1,6,95,1,2,13,
defects4j,Chart,8,SL SH SF,45,21537,1,6,95,2,60,302,
defects4j,Chart,9,SL SH SF,81,16524,1,6,95,29,16,278,
defects4j,Chart,10,SL SH SF,62,39335,2,10,95,3,100,546,
defects4j,Chart,11,SL SH SF,12,15052,1,6,95,19,20,214,
defects4j,Chart,12,SL SH SF,25,21135,1,6,95,17,67,351,
defects4j,Chart,13,SL SH SF,33,18866,1,6,95,10,34,151,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,17,28825,2,7,95,22,165,381,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,26,20502,1,6,95,13,24,363,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,480021,,90,95,0,2767,3416,
defects4j,Chart,24,SL SH SF,40,34980,2,10,95,8,86,321,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,2,60776,11,16,95,0,18,20,
defects4j,Closure,1,SH SF,0,415457,,90,95,70,1816,2022,
defects4j,Closure,2,SF,15,18635,1,6,95,2,36,55,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,290769,,90,95,337,311,660,
defects4j,Closure,5,SH SF,4,70304,12,17,95,19,167,194,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,33,21527,1,6,95,29,41,106,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,59,23544,1,6,95,28,164,441,
defects4j,Closure,11,SH SF,0,439747,,90,95,0,3220,4327,
defects4j,Closure,12,SH SF,31,76277,17,22,95,37,463,556,
defects4j,Closure,13,SF,16,19270,1,6,95,20,29,70,
defects4j,Closure,14,SL SH SF,0,296679,,90,95,468,318,908,
defects4j,Closure,15,SH SF,26,31707,1,6,95,44,196,281,
defects4j,Closure,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,11,14367,1,6,95,8,17,71,
defects4j,Closure,19,SF,24,20450,1,6,95,4,30,58,
defects4j,Closure,20,SH SF,24,42988,3,10,95,31,193,317,
defects4j,Closure,21,SF,0,249040,,90,95,67,158,229,
defects4j,Closure,22,SF,0,232488,,90,95,78,118,198,
defects4j,Closure,23,SF,0,263994,,90,95,240,209,458,
defects4j,Closure,24,SF,0,294929,,90,95,299,245,551,
defects4j,Closure,25,SF,0,274610,,90,95,229,346,581,
defects4j,Closure,26,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,241362,,90,95,63,96,162,
defects4j,Closure,30,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,25,21046,2,7,95,17,48,129,
defects4j,Closure,32,SF,0,259399,,90,95,97,116,216,
defects4j,Closure,33,SH SF,0,362975,,90,95,550,1189,2307,
defects4j,Closure,34,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,288931,,90,95,65,1161,1439,
defects4j,Closure,36,SH SF,3,107780,24,29,95,30,520,564,
defects4j,Closure,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,38,25351,3,8,95,100,51,357,
defects4j,Closure,39,SF,0,280204,,90,95,210,221,468,
defects4j,Closure,40,SF,0,315615,,90,95,169,249,461,
defects4j,Closure,41,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,336259,,90,95,0,185,192,
defects4j,Closure,43,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,30,19892,1,6,95,11,22,65,
defects4j,Closure,45,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,462621,,90,95,73,122,232,
defects4j,Closure,49,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,0,240745,,90,95,38,113,165,
defects4j,Closure,51,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,54,19034,1,6,95,27,36,244,
defects4j,Closure,53,SF,1,218157,71,76,95,90,195,287,
defects4j,Closure,54,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,60,32824,1,6,95,34,114,223,
defects4j,Closure,56,SF,11,15017,1,6,95,16,14,41,
defects4j,Closure,57,SL SH SF,7,16735,1,6,95,7,52,367,
defects4j,Closure,58,SF,0,248871,,90,95,81,127,219,
defects4j,Closure,59,SH SF,0,303186,,90,95,304,909,1914,
defects4j,Closure,60,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,61,SH SF,29,20429,1,6,95,17,114,225,
defects4j,Closure,62,SL SH SF,6,18296,1,6,95,9,39,266,
defects4j,Closure,64,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,65,SL SH SF,3,101927,33,38,95,108,49,593,
defects4j,Closure,66,SF,0,485557,,90,95,0,2027,2975,
defects4j,Closure,67,SL SH SF,67,29265,2,7,95,88,187,399,
defects4j,Closure,68,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,69,SH SF,0,346070,,90,95,75,1639,1953,
defects4j,Closure,70,SL SH SF,4,27601,2,7,95,11,98,349,
defects4j,Closure,71,SL SH SF,0,253501,,90,95,193,877,1388,
defects4j,Closure,72,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,73,SL SH SF,38,20808,1,6,95,35,16,134,
defects4j,Closure,74,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,75,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,76,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,77,SL SH SF,10,18090,1,6,95,12,6,230,
defects4j,Closure,78,SF,1,17560,1,6,95,11,10,22,
defects4j,Closure,79,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,80,SL SH SF,0,340072,,90,95,0,1410,2141,
defects4j,Closure,81,SH SF,0,315951,,90,95,55,412,495,
defects4j,Closure,82,SH SF,0,396833,,90,95,1323,1660,4557,
defects4j,Closure,83,SH SF,11,31802,1,6,95,2,332,444,
defects4j,Closure,84,OT,,,,,,,,,"Not SL, SH or SF bug. "
