framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,105,19691,1,6,115,2,21,325,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,13,245963,51,56,115,389,960,1769,
defects4j,Chart,4,SF,3,15405,1,6,115,0,6,9,
defects4j,Chart,5,SF,4,17881,1,6,115,13,18,35,
defects4j,Chart,6,SH SF,40,26472,1,6,115,29,55,228,
defects4j,Chart,7,SF,10,15724,1,6,115,1,2,13,
defects4j,Chart,8,SL SH SF,45,21537,1,6,115,2,60,302,
defects4j,Chart,9,SL SH SF,81,16524,1,6,115,29,16,278,
defects4j,Chart,10,SL SH SF,62,39335,2,10,115,3,100,546,
defects4j,Chart,11,SL SH SF,12,15052,1,6,115,19,20,214,
defects4j,Chart,12,SL SH SF,25,21135,1,6,115,17,67,351,
defects4j,Chart,13,SL SH SF,33,18866,1,6,115,10,34,151,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,17,28825,2,7,115,22,165,381,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,26,20502,1,6,115,13,24,363,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,585760,,110,115,0,3366,4140,
defects4j,Chart,24,SL SH SF,40,34980,2,10,115,8,86,321,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,2,60776,11,16,115,0,18,20,
defects4j,Closure,1,SH SF,0,505274,,110,115,93,2220,2482,
defects4j,Closure,2,SF,15,18635,1,6,115,2,36,55,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,358030,,110,115,423,367,803,
defects4j,Closure,5,SH SF,4,70304,12,17,115,19,167,194,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,33,21527,1,6,115,29,41,106,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,59,23544,1,6,115,28,164,441,
defects4j,Closure,11,SH SF,0,554584,,110,115,0,3832,5174,
defects4j,Closure,12,SH SF,31,76277,17,22,115,37,463,556,
defects4j,Closure,13,SF,16,19270,1,6,115,20,29,70,
defects4j,Closure,14,SL SH SF,0,361697,,110,115,600,392,1139,
defects4j,Closure,15,SH SF,26,31707,1,6,115,44,196,281,
defects4j,Closure,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,11,14367,1,6,115,8,17,71,
defects4j,Closure,19,SF,24,20450,1,6,115,4,30,58,
defects4j,Closure,20,SH SF,24,42988,3,10,115,31,193,317,
defects4j,Closure,21,SF,0,302632,,110,115,81,180,265,
defects4j,Closure,22,SF,0,285537,,110,115,96,136,234,
defects4j,Closure,23,SF,0,322020,,110,115,291,242,543,
defects4j,Closure,24,SF,0,360314,,110,115,383,285,676,
defects4j,Closure,25,SF,0,337409,,110,115,273,420,699,
defects4j,Closure,26,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,293927,,110,115,84,109,197,
defects4j,Closure,30,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,25,21046,2,7,115,17,48,129,
defects4j,Closure,32,SF,0,315303,,110,115,117,135,259,
defects4j,Closure,33,SH SF,17,432303,102,107,115,645,1503,2906,
defects4j,Closure,34,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,345771,,110,115,85,1423,1766,
defects4j,Closure,36,SH SF,3,107780,24,29,115,30,520,564,
defects4j,Closure,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,38,25351,3,8,115,100,51,357,
defects4j,Closure,39,SF,0,342339,,110,115,246,305,598,
defects4j,Closure,40,SF,0,381653,,110,115,206,281,534,
defects4j,Closure,41,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,418138,,110,115,0,221,228,
defects4j,Closure,43,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,30,19892,1,6,115,11,22,65,
defects4j,Closure,45,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,559819,,110,115,88,145,278,
defects4j,Closure,49,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,0,293828,,110,115,40,133,193,
defects4j,Closure,51,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,54,19034,1,6,115,27,36,244,
defects4j,Closure,53,SF,1,218157,71,76,115,90,195,287,
defects4j,Closure,54,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,60,32824,1,6,115,34,114,223,
defects4j,Closure,56,SF,11,15017,1,6,115,16,14,41,
defects4j,Closure,57,SL SH SF,7,16735,1,6,115,7,52,367,
defects4j,Closure,58,SF,2,265213,91,96,115,88,134,235,
defects4j,Closure,59,SH SF,0,379327,,110,115,372,1129,2424,
defects4j,Closure,60,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,61,SH SF,29,20429,1,6,115,17,114,225,
defects4j,Closure,62,SL SH SF,6,18296,1,6,115,9,39,266,
defects4j,Closure,64,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,65,SL SH SF,3,101927,33,38,115,108,49,593,
defects4j,Closure,66,SF,0,590636,,110,115,0,2530,3689,
defects4j,Closure,67,SL SH SF,67,29265,2,7,115,88,187,399,
defects4j,Closure,68,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,69,SH SF,0,417907,,110,115,75,2015,2373,
defects4j,Closure,70,SL SH SF,4,27601,2,7,115,11,98,349,
defects4j,Closure,71,SL SH SF,0,310292,,110,115,241,1107,1725,
defects4j,Closure,72,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,73,SL SH SF,38,20808,1,6,115,35,16,134,
