framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,7,3631,1,1,125,1,10,93,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,2,221721,51,51,125,376,845,1628,
defects4j,Chart,4,SF,1,2589,1,1,125,0,2,3,
defects4j,Chart,5,SF,1,3744,1,1,125,6,8,15,
defects4j,Chart,6,SH SF,1,5038,1,1,125,14,17,116,
defects4j,Chart,7,SF,2,2542,1,1,125,0,2,4,
defects4j,Chart,8,SL SH SF,6,2746,1,1,125,1,8,102,
defects4j,Chart,9,SL SH SF,5,2628,1,1,125,13,4,62,
defects4j,Chart,10,SL SH SF,8,17732,2,5,125,0,82,463,
defects4j,Chart,11,SL SH SF,5,3998,1,1,125,1,6,72,
defects4j,Chart,12,SL SH SF,6,4876,1,1,125,13,13,155,
defects4j,Chart,13,SL SH SF,5,1982,1,1,125,6,4,21,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,2,9672,2,2,125,14,87,277,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,2,3217,1,1,125,0,0,100,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,635823,,120,125,0,3646,4516,
defects4j,Chart,24,SL SH SF,4,19046,2,5,125,0,86,275,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,1,42367,11,11,125,0,12,13,
defects4j,Closure,1,SH SF,0,552640,,120,125,103,2426,2707,
defects4j,Closure,2,SF,4,3352,1,1,125,1,11,18,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,389597,,120,125,459,401,873,
defects4j,Closure,5,SH SF,1,51642,12,12,125,14,137,156,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,1,3877,1,1,125,17,24,45,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,3,4485,1,1,125,11,76,126,
