framework,project,bug_id,bug_type,ppc,rc,fppt,uts,mts,errtf,errce,tpc,comment
defects4j,Chart,1,SL SH SF,7,3631,1,1,35,1,10,93,
defects4j,Chart,2,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,3,SH SF,0,126970,,30,35,202,514,911,
defects4j,Chart,4,SF,1,2589,1,1,35,0,2,3,
defects4j,Chart,5,SF,1,3744,1,1,35,6,8,15,
defects4j,Chart,6,SH SF,1,5038,1,1,35,14,17,116,
defects4j,Chart,7,SF,2,2542,1,1,35,0,2,4,
defects4j,Chart,8,SL SH SF,6,2746,1,1,35,1,8,102,
defects4j,Chart,9,SL SH SF,5,2628,1,1,35,13,4,62,
defects4j,Chart,10,SL SH SF,8,17732,2,5,35,0,82,463,
defects4j,Chart,11,SL SH SF,5,3998,1,1,35,1,6,72,
defects4j,Chart,12,SL SH SF,6,4876,1,1,35,13,13,155,
defects4j,Chart,13,SL SH SF,5,1982,1,1,35,6,4,21,
defects4j,Chart,14,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,15,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,17,SH SF,2,9672,2,2,35,14,87,277,
defects4j,Chart,18,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,19,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,20,SL SH SF,2,3217,1,1,35,0,0,100,
defects4j,Chart,21,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,22,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,23,SH SF,0,158318,,30,35,0,893,1134,
defects4j,Chart,24,SL SH SF,4,19046,2,5,35,0,86,275,
defects4j,Chart,25,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Chart,26,SF,1,42367,11,11,35,0,12,13,
defects4j,Closure,1,SH SF,0,139614,,30,35,17,600,657,
defects4j,Closure,2,SF,4,3352,1,1,35,1,11,18,
defects4j,Closure,3,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,4,SF,0,95280,,30,35,110,96,213,
defects4j,Closure,5,SH SF,1,51642,12,12,35,14,137,156,
defects4j,Closure,6,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,7,SF,1,3877,1,1,35,17,24,45,
defects4j,Closure,8,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,9,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,10,SL SH SF,3,4485,1,1,35,11,76,126,
defects4j,Closure,11,SH SF,0,136764,,30,35,0,1134,1504,
defects4j,Closure,12,SH SF,1,62784,17,17,35,30,458,502,
defects4j,Closure,13,SF,1,4150,1,1,35,5,17,28,
defects4j,Closure,14,SL SH SF,0,109960,,30,35,138,107,273,
defects4j,Closure,15,SH SF,1,8729,1,1,35,39,102,157,
defects4j,Closure,16,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,17,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,18,SL SH SF,5,3430,1,1,35,1,12,20,
defects4j,Closure,19,SF,2,3718,1,1,35,3,23,28,
defects4j,Closure,20,SH SF,6,27695,3,5,35,29,184,288,
defects4j,Closure,21,SF,0,80684,,30,35,28,52,80,
defects4j,Closure,22,SF,0,75867,,30,35,33,42,75,
defects4j,Closure,23,SF,0,86974,,30,35,86,68,156,
defects4j,Closure,24,SF,0,99114,,30,35,123,65,191,
defects4j,Closure,25,SF,0,91832,,30,35,80,121,201,
defects4j,Closure,26,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,27,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,28,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,29,SF,0,77554,,30,35,23,29,54,
defects4j,Closure,30,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,31,SL SH SF,6,5933,2,2,35,10,22,43,
defects4j,Closure,32,SF,0,81981,,30,35,34,32,66,
defects4j,Closure,33,SH SF,0,119698,,30,35,187,417,789,
defects4j,Closure,34,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,35,SH SF,0,95808,,30,35,21,397,504,
defects4j,Closure,36,SH SF,1,93787,24,24,35,27,452,486,
defects4j,Closure,37,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,38,SL SH SF,1,9932,3,3,35,50,45,180,
defects4j,Closure,39,SF,0,94062,,30,35,76,80,170,
defects4j,Closure,40,SF,0,105520,,30,35,69,76,157,
defects4j,Closure,41,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,42,SF,0,109576,,30,35,0,74,76,
defects4j,Closure,43,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,44,SF,5,4136,1,1,35,9,16,32,
defects4j,Closure,45,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,46,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,47,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,48,SF,0,202351,,30,35,41,56,121,
defects4j,Closure,49,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,50,SF,0,82439,,30,35,15,43,64,
defects4j,Closure,51,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,52,SL SH SF,1,5595,1,1,35,14,19,122,
defects4j,Closure,53,SF,0,88310,,30,35,42,63,105,
defects4j,Closure,54,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,55,SH SF,2,5164,1,1,35,15,74,106,
defects4j,Closure,56,SF,1,3219,1,1,35,6,5,12,
defects4j,Closure,57,SL SH SF,1,3503,1,1,35,2,14,102,
defects4j,Closure,58,SF,0,84225,,30,35,21,37,63,
defects4j,Closure,59,SH SF,0,102432,,30,35,109,305,641,
defects4j,Closure,60,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,61,SH SF,10,5611,1,1,35,5,69,126,
defects4j,Closure,62,SL SH SF,1,2717,1,1,35,1,20,50,
defects4j,Closure,64,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,65,SL SH SF,0,78160,,30,35,75,36,394,
defects4j,Closure,66,SF,0,159951,,30,35,0,630,898,
defects4j,Closure,67,SL SH SF,1,7461,2,2,35,52,80,172,
defects4j,Closure,68,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,69,SH SF,0,120414,,30,35,0,539,647,
defects4j,Closure,70,SL SH SF,1,9171,2,2,35,6,64,161,
defects4j,Closure,71,SL SH SF,0,82659,,30,35,44,279,425,
defects4j,Closure,72,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,73,SL SH SF,2,2651,1,1,35,15,7,28,
defects4j,Closure,74,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,75,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,76,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,77,SL SH SF,5,2442,1,1,35,3,3,37,
defects4j,Closure,78,SF,1,3116,1,1,35,2,2,5,
defects4j,Closure,79,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,80,SL SH SF,0,125773,,30,35,0,493,748,
defects4j,Closure,81,SH SF,0,104314,,30,35,8,123,138,
defects4j,Closure,82,SH SF,0,137060,,30,35,485,507,1429,
defects4j,Closure,83,SH SF,1,13200,1,1,35,0,182,246,
defects4j,Closure,84,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,85,OT,,,,,,,,,"Not SL, SH or SF bug. "
defects4j,Closure,86,SL SH SF,3,7961,1,1,35,14,47,83,
defects4j,Closure,87,SF,0,104904,,30,35,99,126,225,
defects4j,Closure,88,SF,1,14057,4,4,35,11,27,39,
defects4j,Closure,89,OT,,,,,,,,,"Not SL, SH or SF bug. "
